node_id,giant_after,giant_fraction_remaining,component_count_after,nodes_outside_giant,fragmentation_score,name,degree,betweenness,closeness,pagerank,null_betweenness_mean,null_betweenness_sd,betweenness_z,betweenness_rank,fragmentation_rank
Junior_Juniper,276,1.0,1,0,0.0,Junior Juniper,2,0.0,0.350253807106599,0.0005300214031699635,0.00013105016312515007,0.0007214803884400879,-0.1816406450194627,257,141
Justice_(New_Universe),276,1.0,1,0,0.0,Justice (New Universe),6,0.0017711553812952692,0.32662721893491126,0.00102202788323028,0.0011966324990705822,0.0015535218686244503,0.36981962972519483,126,142
Karnak_(character),276,1.0,1,0,0.0,Karnak (character),10,0.003933526129972923,0.39598278335724535,0.0015371762733808192,0.002804571305098559,0.0018862240176655554,0.598526375606006,86,143
Kid_Colt,276,1.0,1,0,0.0,Kid Colt,4,0.0002962914640904575,0.3250883392226148,0.0011333522001735746,0.0005951752986458614,0.001249647190657229,-0.2391745740637495,192,144
Killpower,276,1.0,1,0,0.0,Killpower,3,5.8625539760485414e-05,0.3520408163265306,0.0007629481923664121,0.0004262363056010427,0.0011653117306485012,-0.3154613106279985,226,145
Killraven,276,1.0,1,0,0.0,Killraven,7,0.0006281323925327032,0.3954154727793696,0.001970438148646502,0.0017907932498211169,0.002077709040000167,-0.5595879090405845,164,146
Kismet_(Marvel_Comics),276,1.0,1,0,0.0,Kismet (Marvel Comics),9,0.0015603887707204141,0.38928067700987307,0.0013507588372058765,0.002596332994838798,0.0020498966870385604,-0.5053641145276395,134,147
Korvus,276,1.0,1,0,0.0,Korvus,4,5.483890564402161e-05,0.34328358208955223,0.00213594840215056,0.0005351257176947024,0.0009184461517167968,-0.5229341003312052,229,148
Kristoff_Vernard,276,1.0,1,0,0.0,Kristoff Vernard,8,0.0010943023340739294,0.4005805515239477,0.002200397333106172,0.0018251675632396497,0.001332481163715936,-0.5484994828201033,150,149
Leech_(character),276,1.0,1,0,0.0,Leech (character),6,0.0011829931941604286,0.3399014778325123,0.0012133361135600084,0.0012317327023022872,0.0015271588228731512,-0.031915153428614264,149,150
Lei_Kung_(character),276,1.0,1,0,0.0,Lei Kung (character),4,0.000307713562385289,0.345,0.0019514756450335477,0.0004888303229777505,0.0010729051163408004,-0.16880967182836246,188,151
Living_Lightning,276,1.0,1,0,0.0,Living Lightning,6,0.0012620821356461819,0.3791208791208791,0.0029486198584598913,0.0011917651906134634,0.0016015597282029218,0.043905290445595636,145,152
Luke_Cage,276,1.0,1,0,0.0,Luke Cage,28,0.01664761661317231,0.45320197044334976,0.010861300213581199,0.020625332829943117,0.005349473602710049,-0.7435715197763932,23,153
Machine_Man,276,1.0,1,0,0.0,Machine Man,14,0.004624848295052044,0.43670886075949367,0.002520104134434009,0.005840562059708784,0.0028489691787546203,-0.42672057448798667,74,154
Magician_(Marvel_Comics),276,1.0,1,0,0.0,Magician (Marvel Comics),3,0.00011005997295139691,0.3317307692307692,0.0014365190404608662,0.0003455132188001883,0.0010316021282899743,-0.22824036456680083,216,155
Mahr_Vehl,276,1.0,1,0,0.0,Mahr Vehl,1,0.0,0.2589118198874296,0.0005300214031699635,0.0,0.0,0.0,258,156
Makkari_(character),276,1.0,1,0,0.0,Makkari (character),6,0.0034041723753930257,0.32018561484918795,0.002633413921656424,0.0012397863661020672,0.0015566197249162485,1.3904397937700614,93,157
Man-Thing,276,1.0,1,0,0.0,Man-Thing,20,0.008206729903904803,0.43879173290937995,0.005839739364171919,0.011139025675405288,0.004316115344656926,-0.6793830881119706,51,158
Mania_(character),276,1.0,1,0,0.0,Mania (character),7,0.00020331458249082149,0.4150375939849624,0.0010828626375062758,0.001688481259157324,0.001748545188857031,-0.8493727735096794,201,159
Mark_Hazzard:_Merc,276,1.0,1,0,0.0,Mark Hazzard: Merc,1,0.0,0.2440318302387268,0.0005300214031699635,0.0,0.0,0.0,259,160
Marvel_Boy_(Robert_Grayson),276,1.0,1,0,0.0,Marvel Boy (Robert Grayson),3,0.00041504774416309067,0.31363636363636366,0.004824733791217967,0.00037175062553338194,0.0010861612881452693,0.039862513148155886,179,161
Mayday_Parker,276,1.0,1,0,0.0,Mayday Parker,18,0.004660898329696284,0.4175491679273828,0.014294013379939324,0.009368006713886082,0.0035818236503538242,-1.3141653089829852,72,162
Misty_Knight,276,1.0,1,0,0.0,Misty Knight,21,0.0060210997255721955,0.43740095087163233,0.007276252709264715,0.011433364502548156,0.0033767177402637184,-1.602818237497478,64,163
Mockingbird_(Marvel_Comics),276,1.0,1,0,0.0,Mockingbird (Marvel Comics),21,0.012248869888957764,0.4416,0.00483879642736678,0.011671226086977276,0.0034768026860410644,0.16614224451092868,33,164
Moondragon,276,1.0,1,0,0.0,Moondragon,15,0.004570352930664159,0.3909348441926346,0.004230422744956561,0.006549013152439157,0.0030476820889824784,-0.649234455564756,75,165
Moonglow_(comics),276,1.0,1,0,0.0,Moonglow (comics),1,0.0,0.3411619283065513,0.0005300214031699635,0.0,0.0,0.0,260,166
Morbius,276,1.0,1,0,0.0,Morbius,19,0.004145977038869023,0.4495114006514658,0.004567207674791622,0.00979674553313399,0.0033757532796664007,-1.6739281653970244,82,167
Motormouth_(comics),276,1.0,1,0,0.0,Motormouth (comics),4,0.002342383370243776,0.37398373983739835,0.0008542756822430441,0.0006975253133910303,0.0014400577726376036,1.1422167138753268,112,168
Ms._Marvel,276,1.0,1,0,0.0,Ms. Marvel,11,0.0022787569258156,0.3948497854077253,0.0050909351135206785,0.0039007864527072756,0.0026891941017734688,-0.603165656886567,114,169
